CustomerID,Name,Age,Gender,Email,City,Country,LoyaltyMember
1,Caitlyn West,34,Male,gwallace@hill.com,North Andrew,United States Minor Outlying Islands,Yes
2,James Newman,25,Female,tammy75@phillips.biz,Tyronemouth,British Virgin Islands,No
3,David Roberts,59,Male,gary84@martinez.net,West Jacobside,South Georgia and the South Sandwich Islands,Yes
4,Anthony Haynes,35,Male,kaylasteele@carroll.com,Robertfurt,Thailand,No
5,Jennifer Lewis,43,Female,kathryn91@stewart.net,Steveburgh,Colombia,Yes
6,Logan Best,44,Female,bcurry@mccarty.com,Michaelstad,Romania,Yes
7,Heather Anthony,30,Male,allenmiller@caldwell.com,New Elizabeth,Pakistan,Yes
8,Jessica Singh,33,Female,vmurphy@dixon-merritt.com,Wrightborough,Ecuador,Yes
9,Christine Rodriguez,34,Female,matthewturner@holland-montes.org,New Jared,Turkey,No
10,Julie Cruz,39,Male,robertmorris@hotmail.com,South Deborahhaven,Vietnam,No
11,Richard Rodriguez,56,Female,walkerscott@decker.biz,South Chad,Timor-Leste,Yes
12,Earl Brown,60,Female,qroberts@yahoo.com,Port Robinmouth,Cocos (Keeling) Islands,No
13,Haley Harris,48,Male,diazwilliam@yahoo.com,Port Jessica,Saudi Arabia,Yes
14,Christopher Scott,37,Female,christine19@gaines-yang.com,West Jessicaport,Serbia,No
15,Angela Hernandez,28,Female,agutierrez@stephenson-simmons.net,Stevenchester,Cuba,Yes
16,Heidi Gonzalez,39,Female,tyler75@gmail.com,Grantberg,Andorra,Yes
17,Jim Jefferson,40,Female,benjaminlynch@hotmail.com,Davidstad,Nigeria,No
18,Jessica Tyler,44,Male,kaylagonzalez@yahoo.com,Petersshire,Azerbaijan,Yes
19,Terry Padilla,28,Male,vmeyers@yahoo.com,Lake David,Jamaica,Yes
20,Yvette Barajas,48,Male,ncross@hotmail.com,Lake Brittany,Brazil,Yes
21,David Greene,40,Female,kristenwhite@vega.com,Bellbury,Sudan,No
22,Timothy Hebert,20,Male,jamespadilla@edwards.com,Port Andrewport,Kenya,Yes
23,Sheila Scott,60,Male,kimberly85@hotmail.com,East Gilbertville,Belgium,Yes
24,Jeremy Simmons,48,Female,scampbell@gmail.com,East Heather,Bhutan,Yes
25,Manuel Tran,38,Male,belinda01@graham.biz,Marcusmouth,Bahrain,Yes
26,Jennifer Sanchez,58,Male,angela61@hotmail.com,New Kristen,Chad,Yes
27,Michael Hernandez,40,Male,joshua26@powell.com,Nathanview,Syrian Arab Republic,Yes
28,Carlos Ramirez,52,Female,wford@crawford-hays.com,New Harry,Jamaica,No
29,Kristen Johnson,40,Female,david63@hotmail.com,Mindyside,Bosnia and Herzegovina,No
30,Kenneth Martin,53,Male,elizabeth61@hotmail.com,Patrickside,Myanmar,No
31,John Hamilton,46,Male,jacobrussell@hotmail.com,South Jason,Gabon,No
32,Lisa Hernandez,52,Female,johnsonbethany@jimenez.com,Garciatown,Sri Lanka,No
33,Larry Diaz,48,Female,williamssandra@gmail.com,Clarktown,Kenya,No
34,Heidi Cooper,42,Female,jenkinscheryl@hernandez-ward.net,South Lynnside,Malawi,No
35,Amber Fisher,21,Male,romerojohn@hotmail.com,North Samanthaborough,Sweden,Yes
36,Tamara Roy,28,Female,andrea66@gmail.com,Brittanyfurt,Norway,No
37,William Levy,18,Female,ncunningham@gmail.com,New Holly,Comoros,Yes
38,Karina Jackson,53,Male,kathleen69@faulkner-bell.com,Ashleytown,Ethiopia,Yes
39,Kristy Perez,18,Male,bdominguez@gmail.com,Rileybury,United States of America,No
40,Teresa Ramos,40,Female,hatfieldsharon@bird-gibson.com,West Zachary,Jersey,No
41,Michael Wallace DVM,51,Male,andrew96@jones-collins.net,Ayalaville,Iceland,Yes
42,David Nolan,53,Female,zgarrison@yahoo.com,East Scottberg,Poland,No
43,Sarah Robinson,46,Male,aprilmccarthy@gmail.com,North Tammyport,Haiti,Yes
44,Pamela Ramsey,33,Male,svaldez@hotmail.com,Johnfort,Congo,No
45,Julie Holmes,36,Male,josephholmes@anthony.com,East Danielleland,Afghanistan,No
46,Frederick Bradford,36,Male,madisonmoore@gmail.com,South Markborough,Grenada,No
47,Paula Howard,51,Female,erichernandez@hotmail.com,Jacobborough,Sao Tome and Principe,Yes
48,Lauren Quinn,53,Male,tammywilliams@yahoo.com,West Madison,Guernsey,Yes
49,Sandra Hughes,35,Female,waltonjulia@barton.com,Kristinastad,Czech Republic,Yes
50,Karen Sanchez,48,Male,ryan48@yahoo.com,North Savannahstad,Switzerland,No
